Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2010-01-04,NEE,8.778078079223633,13.3125,13.4350004196167,13.217499732971191,13.260000228881836,10408800
2010-01-05,NEE,8.692358016967773,13.182499885559082,13.354999542236328,13.0649995803833,13.324999809265137,11186400
2010-01-06,NEE,8.778078079223633,13.3125,13.335000038146973,13.157500267028809,13.15999984741211,13493200
2010-01-07,NEE,8.753350257873535,13.274999618530273,13.300000190734863,13.162500381469727,13.297499656677246,9768800
2010-01-08,NEE,8.677522659301758,13.15999984741211,13.295000076293945,13.112500190734863,13.244999885559082,9074400
2010-01-11,NEE,8.670928955078125,13.149999618530273,13.4375,12.975000381469727,13.192500114440918,24571600
2010-01-12,NEE,8.459924697875977,12.829999923706055,13.050000190734863,12.755000114440918,13.050000190734863,22500400
2010-01-13,NEE,8.489596366882324,12.875,12.9375,12.645000457763672,12.797499656677246,23431200
2010-01-14,NEE,8.243975639343262,12.5024995803833,12.65999984741211,12.412500381469727,12.625,32314400
2010-01-15,NEE,8.332990646362305,12.637499809265137,12.657500267028809,12.352499961853027,12.427499771118164,24167600
2010-01-19,NEE,8.389039993286133,12.72249984741211,12.725000381469727,12.532500267028809,12.5600004196167,14181200
2010-01-20,NEE,8.239028930664062,12.494999885559082,12.645000457763672,12.345000267028809,12.645000457763672,15854800
2010-01-21,NEE,8.082425117492676,12.257499694824219,12.577500343322754,12.225000381469727,12.482500076293945,18664400
2010-01-22,NEE,7.9357099533081055,12.03499984741211,12.27750015258789,12.029999732971191,12.255000114440918,14230000
2010-01-25,NEE,7.871420383453369,11.9375,12.135000228881836,11.920000076293945,12.102499961853027,21731600
2010-01-26,NEE,8.113744735717773,12.305000305175781,12.392499923706055,12.02750015258789,12.125,25260000
2010-01-27,NEE,8.202760696411133,12.4399995803833,12.442500114440918,12.194999694824219,12.287500381469727,17494400
2010-01-28,NEE,8.079126358032227,12.2524995803833,12.454999923706055,12.217499732971191,12.454999923706055,13256400
2010-01-29,NEE,8.037914276123047,12.1899995803833,12.300000190734863,12.172499656677246,12.2475004196167,23262800
2010-02-01,NEE,8.115394592285156,12.307499885559082,12.322500228881836,12.135000228881836,12.162500381469727,11096400
2010-02-02,NEE,8.173088073730469,12.395000457763672,12.397500038146973,12.175000190734863,12.302499771118164,10453600
2010-02-03,NEE,8.143417358398438,12.350000381469727,12.369999885559082,12.272500038146973,12.324999809265137,15056800
2010-02-04,NEE,7.915928363800049,12.005000114440918,12.282500267028809,11.992500305175781,12.257499694824219,18499600
2010-02-05,NEE,7.813725471496582,11.850000381469727,12.0,11.6850004196167,11.982500076293945,25320000
2010-02-08,NEE,7.7296528816223145,11.72249984741211,12.324999809265137,11.717499732971191,11.84749984741211,9212400
2010-02-09,NEE,7.658769130706787,11.614999771118164,11.832500457763672,11.579999923706055,11.795000076293945,29608800
2010-02-10,NEE,7.569753646850586,11.479999542236328,11.619999885559082,11.447500228881836,11.619999885559082,18621200
2010-02-11,NEE,7.576344966888428,11.489999771118164,11.522500038146973,11.367500305175781,11.4975004196167,17407600
2010-02-12,NEE,7.512052536010742,11.392499923706055,11.457500457763672,11.322500228881836,11.40250015258789,13014800
2010-02-16,NEE,7.645580768585205,11.595000267028809,11.59749984741211,11.454999923706055,11.454999923706055,11662400
